benchmark,jobs,infra,initial_divides,online_divides,initial_timeout,timeout_factor,timeout,future_mode,trial,painless_mode,duration,result,family,start_time,end_time,hostname
eq.atree.braun.12,8,painless,0,2,5.0,1.5,3600,False,0,default,3600.0053236484528,TIMEOUT,cnc,1598855822.5749235,1598859422.584376,benchexec
eq.atree.braun.13,8,plingeling,3,2,5.0,1.5,3600,False,0,default,3600.027690887451,TIMEOUT,cnc,1598856897.4872704,1598860497.520037,benchexec
gus_md5_14,8,painless,0,2,5.0,1.5,3600,False,0,default,3600.0387737751007,TIMEOUT,cnc,1598866997.9371216,1598870597.9801366,benchexec
gto_p60c239.cnf.bz2,8,cnc_lingeling,3,2,5.0,1.5,3600,False,0,default,121.65434980392456,UNSAT,easy,1598887023.3645802,1598887145.0299478,benchexec
gto_p60c241.cnf.bz2,8,plingeling,3,2,5.0,1.5,3600,False,0,default,36.43153953552246,UNSAT,easy,1598887314.2077816,1598887350.6436245,benchexec
rbcl_xits_09_UNK,1,cadical,0,2,5.0,1.5,3600,False,0,default,3600.005028486252,TIMEOUT,cnc,1598874199.8568673,1598877799.86671,benchexec
total_10_17_u,8,gg_local,3,2,5.0,1.5,3600,False,0,default,1284.1695666313171,UNSAT,cnc,1598880242.3123982,1598881527.3474953,benchexec
9dlx_vliw_at_b_iq8,1,cadical,0,2,5.0,1.5,3600,False,0,default,880.7005932331085,UNSAT,cnc,1598847440.4295003,1598848321.134649,benchexec
gto_p60c233.cnf.bz2,1,cadical,0,2,5.0,1.5,3600,False,0,default,172.61735939979553,UNSAT,easy,1598886980.9161313,1598887153.5379555,benchexec
total_5_15_u,8,plingeling,3,2,5.0,1.5,3600,False,0,default,3600.014925479889,TIMEOUT,cnc,1598881402.2559464,1598885002.2757642,benchexec
gus_md5_14,8,cnc_lingeling,3,2,5.0,1.5,3600,False,0,default,3600.101711034775,TIMEOUT,cnc,1598865330.0799088,1598868930.185402,benchexec
9dlx_vliw_at_b_iq9,8,cnc_lingeling,3,2,5.0,1.5,3600,False,0,default,3600.102979183197,TIMEOUT,cnc,1598847970.1882415,1598851570.2953176,benchexec
sortnet_8_ipc5_h19,8,plingeling,3,2,5.0,1.5,3600,False,0,default,500.083025932312,SAT,cnc,1598877562.8800116,1598878062.967345,benchexec
gto_p60c231.cnf.bz2,1,cadical,0,2,5.0,1.5,3600,False,0,default,81.88178324699402,UNSAT,easy,1598886649.3829088,1598886731.2689767,benchexec
Problem14_label55_true_unreach_call.c.cnf.bz2,8,painless,0,2,5.0,1.5,3600,False,0,default,71.15095973014832,UNSAT,easy,1598888603.4492757,1598888681.2939992,benchexec
Problem14_label19_true_unreach_call.c.cnf.bz2,8,painless,0,2,5.0,1.5,3600,False,0,default,53.40112328529358,UNSAT,easy,1598887890.8935428,1598887948.8535802,benchexec
AProVE07_25,8,gg_local,3,2,5.0,1.5,3600,False,0,default,1205.9834632873535,UNSAT,cnc,1598851571.6779795,1598852778.5178707,benchexec
rbcl_xits_09_UNK,8,cnc_lingeling,3,2,5.0,1.5,3600,False,0,default,3600.1025664806366,TIMEOUT,cnc,1598871864.7470293,1598875464.8538704,benchexec
dist9.c.cnf.bz2,8,painless,0,2,5.0,1.5,3600,False,0,dnc,524.3705568313599,UNSAT,easy,1598886113.9717686,1598886638.4066553,benchexec
gto_p60c239.cnf.bz2,8,painless,0,2,5.0,1.5,3600,False,0,default,220.05912828445435,UNSAT,easy,1598887112.3489685,1598887332.4181738,benchexec
sortnet_8_ipc5_h19,1,cadical,0,2,5.0,1.5,3600,False,0,default,481.71736097335815,SAT,cnc,1598879405.810216,1598879887.5322173,benchexec
dist9.c.cnf.bz2,8,painless,0,2,5.0,1.5,3600,False,0,default,531.3729736804962,UNSAT,easy,1598886078.814093,1598886610.2534199,benchexec
cms_scheel_md4_families_r24_c6_p2_4_9_16_17_19.cnf.bz2,8,cnc_lingeling,3,2,5.0,1.5,3600,False,0,default,3600.102215051651,TIMEOUT,easy,1598884259.0517879,1598887859.2753108,benchexec
gto_p60c233.cnf.bz2,8,painless,0,2,5.0,1.5,3600,False,0,dnc,528.0898869037628,UNSAT,easy,1598886785.179188,1598887313.279332,benchexec
sortnet_8_ipc5_h19,8,painless,0,2,5.0,1.5,3600,False,0,dnc,3600.110966205597,TIMEOUT,cnc,1598879056.9874954,1598882657.103815,benchexec
gto_p60c231_1.cnf.bz2,8,gg_local,3,2,5.0,1.5,3600,False,0,default,19.405998468399048,UNSAT,easy,1598886366.2821758,1598886386.1653254,benchexec
eq.atree.braun.13,8,gg_local,3,2,5.0,1.5,3600,False,0,default,3600.0764734745026,TIMEOUT,cnc,1598857797.2163274,1598861398.1198685,benchexec
gto_p60c231.cnf.bz2,8,plingeling,3,2,5.0,1.5,3600,False,0,default,15.438584804534912,UNSAT,easy,1598886611.1386414,1598886626.5815501,benchexec
gto_p60c239.cnf.bz2,1,cadical,0,2,5.0,1.5,3600,False,0,default,195.66396260261536,UNSAT,easy,1598887154.2837806,1598887349.9521925,benchexec
dist10.c.cnf.bz2,8,painless,0,2,5.0,1.5,3600,False,0,default,486.3781478404999,UNSAT,easy,1598885523.7655418,1598886010.214518,benchexec
Problem14_label20_true_unreach_call.c.cnf.bz2,8,painless,0,2,5.0,1.5,3600,False,0,dnc,52.048282623291016,UNSAT,easy,1598888068.8373237,1598888127.5681431,benchexec
gus_md5_14,8,painless,0,2,5.0,1.5,3600,False,0,dnc,3600.033992290497,TIMEOUT,cnc,1598867714.5604475,1598871314.599334,benchexec
dist10.c.cnf.bz2,8,gg_local,3,2,5.0,1.5,3600,False,0,default,101.62899088859558,UNSAT,easy,1598885492.0065238,1598885594.1941266,benchexec
total_10_17_u,8,painless,0,2,5.0,1.5,3600,False,0,dnc,3600.0444610118866,TIMEOUT,cnc,1598880652.9231489,1598884252.972274,benchexec
cms_scheel_md4_families_r24_c6_p2_4_9_16_17_19.cnf.bz2,1,cadical,0,2,5.0,1.5,3600,False,0,default,1.6182210445404053,UNSAT,easy,1598885268.7101731,1598885270.332651,benchexec
cms_scheel_md4_families_r24_c6_p2_4_9_16_17_19.cnf.bz2,8,plingeling,3,2,5.0,1.5,3600,False,0,default,4.423885822296143,UNSAT,easy,1598884253.904825,1598884258.3331115,benchexec
gss_24_s100,8,painless,0,2,5.0,1.5,3600,False,0,dnc,3600.009625673294,TIMEOUT,cnc,1598861399.5953808,1598864999.6091597,benchexec
AProVE07_25,8,plingeling,3,2,5.0,1.5,3600,False,0,default,2133.32217502594,UNSAT,cnc,1598851042.5028725,1598853175.829096,benchexec
eq.atree.braun.13,8,painless,0,2,5.0,1.5,3600,False,0,default,3600.0059530735016,TIMEOUT,cnc,1598858128.3235457,1598861728.334463,benchexec
ndhf_xits_09_UNS,8,cnc_lingeling,3,2,5.0,1.5,3600,False,0,default,3600.0159339904785,TIMEOUT,cnc,1598868601.3887753,1598872201.4087825,benchexec
gto_p60c231_1.cnf.bz2,8,painless,0,2,5.0,1.5,3600,False,0,default,111.02753710746765,UNSAT,easy,1598886386.8920686,1598886497.929986,benchexec
dist9.c.cnf.bz2,1,cadical,0,2,5.0,1.5,3600,False,0,default,106.53255438804626,UNSAT,easy,1598886258.9747238,1598886365.511189,benchexec
dist9.c.cnf.bz2,8,gg_local,3,2,5.0,1.5,3600,False,0,default,101.57945132255554,UNSAT,easy,1598886011.114289,1598886113.249726,benchexec
rbcl_xits_09_UNK,8,plingeling,3,2,5.0,1.5,3600,False,0,default,3600.0147008895874,TIMEOUT,cnc,1598871854.5012178,1598875454.5202453,benchexec
total_5_15_u,8,painless,0,2,5.0,1.5,3600,False,0,dnc,3600.0501976013184,TIMEOUT,cnc,1598882658.044028,1598886258.0996265,benchexec
gto_p60c239.cnf.bz2,8,gg_local,3,2,5.0,1.5,3600,False,0,default,54.23028922080994,UNSAT,easy,1598887056.8994534,1598887111.6066823,benchexec
AProVE07_25,8,painless,0,2,5.0,1.5,3600,False,0,default,3600.0399954319,TIMEOUT,cnc,1598851916.4331474,1598855516.4782667,benchexec
ndhf_xits_09_UNS,1,cadical,0,2,5.0,1.5,3600,False,0,default,3600.0038883686066,TIMEOUT,cnc,1598871315.5283177,1598874915.5361726,benchexec
Problem14_label55_true_unreach_call.c.cnf.bz2,8,gg_local,3,2,5.0,1.5,3600,False,0,default,3600.0028133392334,TIMEOUT,easy,1598888129.5547075,1598891739.5764046,benchexec
gto_p60c241.cnf.bz2,1,cadical,0,2,5.0,1.5,3600,False,0,default,197.06565070152283,UNSAT,easy,1598887474.0550835,1598887671.125279,benchexec
Problem14_label19_true_unreach_call.c.cnf.bz2,8,gg_local,3,2,5.0,1.5,3600,False,0,default,3600.0029282569885,TIMEOUT,easy,1598887860.6643932,1598891467.5442688,benchexec
9dlx_vliw_at_b_iq8,8,plingeling,3,2,5.0,1.5,3600,False,0,default,528.8680465221405,UNSAT,cnc,1598847440.429625,1598847969.3018866,benchexec
gto_p60c239.cnf.bz2,8,painless,0,2,5.0,1.5,3600,False,0,dnc,542.0908961296082,UNSAT,easy,1598887145.7972004,1598887687.8993661,benchexec
gto_p60c233.cnf.bz2,8,cnc_lingeling,3,2,5.0,1.5,3600,False,0,default,52.35036325454712,UNSAT,easy,1598886732.0463727,1598886784.4080906,benchexec
gto_p60c231_1.cnf.bz2,8,painless,0,2,5.0,1.5,3600,False,0,dnc,632.1068596839905,UNSAT,easy,1598886390.3410127,1598887022.4576814,benchexec
Problem14_label19_true_unreach_call.c.cnf.bz2,1,cadical,0,2,5.0,1.5,3600,False,0,default,100.43162655830383,UNSAT,easy,1598887916.1945813,1598888016.6304574,benchexec
gss_24_s100,1,cadical,0,2,5.0,1.5,3600,False,0,default,3600.02011013031,TIMEOUT,cnc,1598861729.2118723,1598865329.2358942,benchexec
dist10.c.cnf.bz2,8,plingeling,3,2,5.0,1.5,3600,False,0,default,44.405519247055054,UNSAT,easy,1598885271.0559,1598885315.4655674,benchexec
total_10_17_u,8,painless,0,2,5.0,1.5,3600,False,0,default,3600.1120529174805,TIMEOUT,cnc,1598880586.662007,1598884186.7782118,benchexec
gss_24_s100,8,cnc_lingeling,3,2,5.0,1.5,3600,False,0,default,3600.1025919914246,TIMEOUT,cnc,1598860498.3913114,1598864098.4980388,benchexec
gus_md5_14,8,gg_local,3,2,5.0,1.5,3600,False,0,default,3600.080256462097,TIMEOUT,cnc,1598866626.276578,1598870227.2926874,benchexec
eq.atree.braun.12,8,gg_local,3,2,5.0,1.5,3600,False,0,default,1371.2295606136322,UNSAT,cnc,1598855524.4878645,1598856896.5649042,benchexec
gss_24_s100,8,plingeling,3,2,5.0,1.5,3600,False,0,default,1203.3337988853455,SAT,cnc,1598859857.7830148,1598861061.1210654,benchexec
cms_scheel_md4_families_r24_c6_p2_4_9_16_17_19.cnf.bz2,8,gg_local,3,2,5.0,1.5,3600,False,0,default,3.674992799758911,UNSAT,easy,1598885003.1579921,1598885007.4687598,benchexec
dist10.c.cnf.bz2,8,painless,0,2,5.0,1.5,3600,False,0,dnc,738.3926510810852,UNSAT,easy,1598885594.9396746,1598886333.3968964,benchexec
ndhf_xits_09_UNS,8,plingeling,3,2,5.0,1.5,3600,False,0,default,3600.012631416321,TIMEOUT,cnc,1598868263.864222,1598871863.881717,benchexec
gss_24_s100,8,gg_local,3,2,5.0,1.5,3600,False,0,default,3600.0054631233215,TIMEOUT,cnc,1598861050.488889,1598864651.003613,benchexec
gss_26_s100,8,plingeling,3,2,5.0,1.5,3600,False,0,default,3600.016865968704,TIMEOUT,cnc,1598863025.3723116,1598866625.3934252,benchexec
ndhf_xits_09_UNS,8,painless,0,2,5.0,1.5,3600,False,0,default,3600.0233223438263,TIMEOUT,cnc,1598870229.0708694,1598873829.0997493,benchexec
eq.atree.braun.12,8,cnc_lingeling,3,2,5.0,1.5,3600,False,0,default,773.8573665618896,UNSAT,cnc,1598855517.4019537,1598856291.2636354,benchexec
